ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
PTar-313_0,PTar-313,dinan,1,m ə n ɨ,
PWai-314_0,PWai-314,dinan,1,m o n ɨ,
PXin-315_0,PXin-315,dinan,1,m o n -,
tri-316_0,tri-316,dinan,1,m ə n ɨ,
wai-317_0,wai-317,dinan,1,m ɨ n ɨ,
way-318_0,way-318,dinan,1,m ɨ n ɨ,
yab-319_0,yab-319,dinan,1,m ə n ɨ,
apa-320_1,apa-320,pl4,2,ʔ n e,
ikp-321_0,ikp-321,dinan,1,m u - -,
ikp-321_1,ikp-321,pl2,2,j a - m -,
kar-322_0,kar-322,dinan,1,m o n ɨ,
kar-322_1,kar-322,pl1,2,k o n -,
tri-323_0,tri-323,dinan,1,m ə n -,
tri-323_1,tri-323,pl3,2,t o m o,
way-324_0,way-324,dinan,1,m ɨ n ɨ,
way-324_1,way-324,pl1,2,k o m o,
aka-325_0,aka-325,danim,1,- - - k ɨ -,
aka-325_1,aka-325,emp,2,r ə,
aku-326_0,aku-326,danim,1,m ə - k ɨ -,
aku-326_1,aku-326,emp,2,r ə,
apa-327_0,apa-327,danim,1,m o - k ɨ -,
apa-327_1,apa-327,emp,2,r o,
bak-328_1,bak-328,danim,2,w ə - k ə -,
car-329_0,car-329,danim,1,m ə - k - -,
car-329_1,car-329,emp,2,- ə,
hix-330_0,hix-330,danim,1,m o - k - -,
hix-330_1,hix-330,emp,2,r o,
ing-331_0,ing-331,danim,1,- - - k ɨ -,
ing-331_1,ing-331,emp,2,r ə,
ing-331_2,ing-331,emp,3,r ə,
kar-332_0,kar-332,danim,1,m o ʔ k - -,
kar-332_1,kar-332,emp,2,- o,
kax-333_0,kax-333,danim,1,m o - k o -,
kax-333_1,kax-333,emp,2,r o,
mac-334_0,mac-334,danim,1,m ɨɨ - k ɨ -,
mac-334_1,mac-334,emp,2,r ɨ,
mak-335_0,mak-335,danim,1,m ə ʔ - - -,
mak-335_1,mak-335,emp,2,r ə,
pan-336_0,pan-336,danim,1,- - - k ə -,
pan-336_1,pan-336,emp,2,n -,
pem-337_0,pem-337,danim,1,m ə ʔ - - -,
pem-337_1,pem-337,emp,2,r ə,
PPar-338_0,PPar-338,danim,1,m o - k o -,
PPar-338_1,PPar-338,emp,2,r o,
PPem-339_0,PPem-339,danim,1,m ə - k ɨ -,
PPem-339_1,PPem-339,emp,2,r ə,
PPP-340_0,PPP-340,danim,1,m ə - k ɨ -,
PPP-340_1,PPP-340,emp,2,r ə,
PTar-341_0,PTar-341,danim,1,m ə - k ɨ -,
PTar-341_1,PTar-341,emp,2,r ə,
PWai-342_0,PWai-342,danim,1,m o - k - -,
PWai-342_1,PWai-342,emp,2,r o,
