,[gl](anim.sg),[gl](anim.pl),[gl](inan)
[gl](prox-1),mət͡ʃə,mət͡ʃ-jamo,ərə
[gl](prox-2),,,ənɨ
[gl](med),,,mərə
[gl](dist),məkɨ,mək-jamo,mənɨ
