,[gl](sg),[gl](pl)
[gl](prox.anim),*məe*,*məesamo*
[gl](med.anim),*məərə*,*məəjamo*
[gl](invis.anim),*məkɨ*,*məkɨjamo*
[gl](prox.inan),*serə / senɨ*,
[gl](med.inan),*mərə*,
[gl](invis.inan),*mənɨ*,
