,[lg](PPek),[lg](bak),[lg](ara),[lg](ikp)
1,[wf](PPek-f-23?nt&no_language),[wf](bak-f-4?nt&no_language),[wf](ara-f-3?nt&no_language),[wf](ikp-f-7?nt&no_language)
2,[wf](PPek-f-58?nt&no_language),[wf](bak-f-42?nt&no_language),[wf](ara-f-41?nt&no_language),[wf](ikp-f-45?nt&no_language)
1+2,[wf](PPek-f-96?nt&no_language),[wf](bak-f-79?nt&no_language),[wf](ara-f-78?nt&no_language),[wf](ikp-f-82?nt&no_language)
1+2PL,,[wf](bak-f-114?nt&no_language),[wf](ara-f-113?nt&no_language),[wf](ikp-f-117?nt&no_language)
1+3,[wf](PPek-f-161?nt&no_language),[wf](bak-f-144?nt&no_language),[wf](ara-f-143?nt&no_language),[wf](ikp-f-147?nt&no_language)
2PL,[wf](PPek-f-198?nt&no_language),[wf](bak-f-182?nt&no_language),[wf](ara-f-181?nt&no_language),[wf](ikp-f-185?nt&no_language)
3ANIM,[wf](PPek-f-224?nt&no_language),[wf](bak-f-215?nt&no_language),,
3INAN,[wf](PPek-f-260?nt&no_language),[wf](bak-f-252?nt&no_language),,
