,[lg](PPem),[lg](aka),[lg](ing),[lg](pem),[lg](mac)
1,[wf](PPem-f-24?nt&no_language),[wf](aka-f-0?nt&no_language),[wf](ing-f-8?nt&no_language),[wf](pem-f-17?nt&no_language),[wf](mac-f-11?nt&no_language)
2,[wf](PPem-f-59?nt&no_language),[wf](aka-f-38?nt&no_language),[wf](ing-f-46?nt&no_language),[wf](pem-f-54?nt&no_language),[wf](mac-f-49?nt&no_language)
1+2,[wf](PPem-f-97?nt&no_language),[wf](aka-f-75?nt&no_language),,[wf](pem-f-91?nt&no_language),[wf](mac-f-86?nt&no_language)
1+2PL,[wf](PPem-f-130?nt&no_language),[wf](aka-f-110?nt&no_language),[wf](ing-f-118?nt&no_language),[wf](pem-f-126?nt&no_language) / [wf](pem-f-127?nt&no_language),[wf](mac-f-122?nt&no_language)
1+3,[wf](PPem-f-162?nt&no_language) / [wf](PPem-f-164?nt&no_language),[wf](aka-f-140?nt&no_language),[wf](ing-f-148?nt&no_language),[wf](pem-f-157?nt&no_language),[wf](mac-f-152?nt&no_language)
2PL,[wf](PPem-f-199?nt&no_language),[wf](aka-f-178?nt&no_language),[wf](ing-f-186?nt&no_language),[wf](pem-f-194?nt&no_language),[wf](mac-f-189?nt&no_language)
