,[gl](sg),[gl](pl)
[gl](1),*wɨ(ɨ)*,
[gl](2),*əmə*,*əmənjamo*
[gl](1+2),*kɨmə*,*kɨmənjamo*
[gl](1+3),*anja*,
[gl](3anim),*nərə*,*namo*
[gl](3inan),*irə*,
