,[lg](PPP),[lg](pan),[lg](PPem)
1,[wf](PPP-f-25?nt&no_language),[wf](pan-f-15?nt&no_language),[wf](PPem-f-24?nt&no_language)
2,[wf](PPP-f-60?nt&no_language),[wf](pan-f-52?nt&no_language),[wf](PPem-f-59?nt&no_language)
1+2,,[wf](pan-f-89?nt&no_language),[wf](PPem-f-97?nt&no_language)
1+2PL,,[wf](pan-f-124?nt&no_language),[wf](PPem-f-130?nt&no_language)
1+3,[wf](PPP-f-163?nt&no_language) / [wf](PPP-f-165?nt&no_language),[wf](pan-f-155?nt&no_language),[wf](PPem-f-162?nt&no_language) / [wf](PPem-f-164?nt&no_language)
2PL,[wf](PPP-f-200?nt&no_language),[wf](pan-f-192?nt&no_language),[wf](PPem-f-199?nt&no_language)
