,[lg](PPar),[lg](kax),[lg](hix),[lg](wai)
1,[wf](PPar-f-22?nt&no_language),[wf](kax-f-10?nt&no_language),[wf](hix-f-6?nt&no_language),[wf](wai-f-33?nt&no_language)
2,[wf](PPar-f-57?nt&no_language),[wf](kax-f-48?nt&no_language),[wf](hix-f-44?nt&no_language),[wf](wai-f-68?nt&no_language)
1+2,[wf](PPar-f-94?nt&no_language) / [wf](PPar-f-95?nt&no_language),[wf](kax-f-85?nt&no_language),[wf](hix-f-81?nt&no_language),[wf](wai-f-105?nt&no_language)
1+2PL,[wf](PPar-f-128?nt&no_language) / [wf](PPar-f-129?nt&no_language),[wf](kax-f-121?nt&no_language),[wf](hix-f-116?nt&no_language),[wf](wai-f-138?nt&no_language)
1+3,[wf](PPar-f-160?nt&no_language),[wf](kax-f-151?nt&no_language),[wf](hix-f-146?nt&no_language),[wf](wai-f-172?nt&no_language)
2PL,[wf](PPar-f-196?nt&no_language),[wf](kax-f-187?nt&no_language),[wf](hix-f-183?nt&no_language),[wf](wai-f-207?nt&no_language)
3ANIM,[wf](PPar-f-222?nt&no_language),[wf](kax-f-219?nt&no_language),[wf](hix-f-216?nt&no_language),[wf](wai-f-230?nt&no_language)
3ANIM.PL,[wf](PPar-f-241?nt&no_language),[wf](kax-f-238?nt&no_language),[wf](hix-f-235?nt&no_language),[wf](wai-f-247?nt&no_language)
3INAN,[wf](PPar-f-258?nt&no_language),[wf](kax-f-255?nt&no_language),[wf](hix-f-253?nt&no_language),[wf](wai-f-266?nt&no_language)
