"Glottocode","Shorthand","IPA","Orthographic","long","lat","Sampled","Alive","ID","CLLD_Name","Alternative_Names","Todo","Comment","Dialect_Of","ISO"
0,"macoa","Macoa","Macoa",-73.0557,9.67534,"n","n","maco","Macoa",,,"yukpa dialects","yuk",
0,"chake","Chake","Chake",-73.0557,9.67534,"n","n","chak","Chake",,,"yukpa dialects","yuk",
"chai1253","chayma","Chayma","Chayma",-63.1,9.21256,"n","n","chai","Chaima",,,,"cum",
0,"avarikoto","Avarikoto","Avarikoto",-63.1,9.21,"n","n","avar","Avaricoto",,,"girard",,
"taul1252","tauli","Taurepan","Taulipang",,,"n","y","tau","Taulipang",,,,"pem",
"pata1262","patamona","Patamona","Patamona",-59.58,4.76,"n","y","pat","Patamona",,,,"kap",
"arec1238","arekuna","Arekuna","Arekuna",,,"n","y","are","Arekuna",,,,"pem",
"cama1252","kamara","Kamarakoto","Kamarakoto",-62.71231,5.6014065,"n","y","kam","Kamaragoto",,,,"pem",
"akaw1239","akawaio","Akawajo","Akawaio",-60.86,6.16,"n","y","aka","Akawaio",,,,"kap",
"cuma1240","kumanagoto","Kumanakoto","Kumanagoto",-63.02,10.21,"n","n","cgt","Cumanagoto",,,,"cum",
0,"crichana","Crichana","Crichana",-60.4259,-0.61832,"n","n","cric","Crichana",,,,,
"mapo1246","mapoyo","Mapojo","Mapoyo",-66.276,5.32692,"y","y","map","Mapoyo",,,,,"mcg"
"yaba1248","yawarana","Jawarana","Yawarana",-67.2581,5.96952,"y","y","yab","Yabarana",,,,,"yar"
"jawa1240","yawaperi","Jawaperi","Jawaperi",-60.4259,-0.61832,"n","n","jawa","Jawaperi",,,,"y",
"pemo1245","pemono","Pemono","Pémono",-66.082,5.248,"n","n","pemo","Pemono",,,,,
0,"pianakoto","Pianakoto","Pianakoto",,,"n","n","pian","Pianakoto",,,,"tri",
"cari1283","PC","Proto-Cariban","Proto-Cariban",,,"y"," ","pc","Proto-Cariban",,,,,
0,"arina","Arinakoto","Arinakoto",,,"n","n","arin","Arinagoto",,,"only in durbin, part of the pemon continuum","y",
0,"kumayena","Kumajena","Kumayena",,,"n","n","kuma","?",,,,"tri",
"tyre1237","tyrewuju","Tɨrewuju","Tyrewuju",,,"n","y","tyr","Tyrewuju",,,,"kar",
,"dekwana","Deʔkwana","De’kwana",,,"n","y","dek",,,,,"mak",
,"dhekwana","Ðeʔkwana","Dhe’kwana",,,"n","y","dhe",,,,,"mak",
"paru1239","PPar",,"Proto-Parukotoan",,,"n"," ","PPar",,,,,,
"waiw1245","PWai",,"Proto-Waiwaian",,,"n"," ","PWai",,,,,,
"peko1235","PPek",,"Proto-Pekodian",,,"n"," ","PPek",,,,,,
"xing1247","PXin",,"Proto-Xinguan",,,"n"," ","PXin",,,,,,
"pemo1246","PPP",,"Proto-Pemong-Panare",,,"n"," ","PPP",,,,,,
"pemo1247","PPem",,"Proto-Pemongan",,,"n"," ","PPem",,,,,,
"tara1324","PTar",,"Proto-Taranoan",,,"n"," ","PTar",,,,,,
"tiri1260","PTir",,"Proto-Tiriyoan",,,"n"," ","PTir",,,,,,
