"Language_ID","Form","Parameter_ID","Cognateset_ID","Cognates","Source","Comments"
"PTar","kɨ+mə(+rə)","1+2","1+2","1a2+mform+EMP","meira1998proto[64]","Added EMP"
"mak","kɨ+wɨ","1+2","1+2","1a2+wform","maquiritaricaceres2011[167]",
"wai","kɨɨ+wɨ","1+2","1+2","1a2+wform",,
"hix","kɨ+w+ro","1+2","1+2","1a2+wform+EMP","hixkaryanaderby1985[7]",
"PWai","kɨ+wɨ(+ro)","1+2","1+2","1a2+wform+EMP",,
"map","eʔnə","1+2","1+2","1a2ep","mattei2003pemono[48]",
"pno","eʔnə","1+2","1+2","1a2ep","mattei2003pemono[48]",
"PMan","epɨnə","1+2","1+2","1a2ep",,
"yab","ehnə","1+2","1+2","1a2ep","mattei2003pemono[49]",
"yuk","epɨ","1+2","1+2","1a2ep","largo2011yukpa[57]",
"wmr","kɨkɨ","1+2","1+2","uku","waimiribruno2003[77]",
"ara","ugo+ro","1+2","1+2","uku+EMP","souza1993arara",
"ikp","ug+ro","1+2","1+2","uku+EMP","ikpengpacheco2001[119]",
"PPek","uku+rə","1+2","1+2","uku+EMP",,
"uxc","kuku+ɣe","1+2","1+2","uku+EMP","kuikurodossantos2007[55]",
"way","ku+nmə","1+2","1+2","1a2+mform","wayanatavares2005[180]","Potentially from *uku."
"mac","uu+rɨ+ʔ+kon","1+2","1+2","1+EMP+PL-3+PL-1","macushiabbott1991[99]",
"pem","juu+rə+to","1+2","1+2","1+EMP+PL-3","garcia2006diccionario[64]",
"bak","ku+rə","1+2; 1+2PL","1+2; 1+2PL","uku+EMP","meiraDBbakairi",
"pan","ju+ta+kon","1+2PL","1+2PL","1+?+PL-1","panarepayne2013[88]",
"aka","u+rə+ʔno+kon","1+2PL","1+2PL","1+EMP+?+PL-1","stegeman2014akawaio[97]",
"ing","u+rə+ʔno+kon","1+2PL","1+2PL","1+EMP+?+PL-1","cruz2005fonologia[162]",
"mac","uu+rɨ+ʔnɨ+kon","1+2PL","1+2PL","1+EMP+?+PL-1","macushiabbott1991[99]",
"pem","juu+rə+no+kon","1+2PL","1+2PL","1+EMP+?+PL-1","garcia2006diccionario[64]",
"pem","juu+rə+to+kon","1+2PL","1+2PL","1+EMP+PL-3+PL-1","garcia2006diccionario[64]",
"PPem","ju+rə+ʔno+kon","1+2PL","1+2PL","1+EMP+?+PL-1",,
"PTir","kɨ(+mə)+n+jamo","1+2PL","1+2PL","1a2+?+?+PL-2",,
"kar","kɨ+ʔka+ro(+n)","1+2PL","1+2PL","1a2+?+EMP+?","courtz2008carib[52]","Surinamese Kari’ña. Final /n/ only in eastern Surinamese."
"car","kɨ+ɲ+amo+ro","1+2PL","1+2PL","1a2+?+PL-2+EMP","guerrero2019carijo[76]",
"PPar","kɨ+?+jamo(+ro)","1+2PL","1+2PL","1a2+?+PL-2+EMP",,
"aku","kɨ(+mə)+n+jamo","1+2PL","1+2PL","1a2+mform+?+PL-2","meira1998proto[64]",
"apa","kɨ+ma+ro+komo","1+2PL","1+2PL","1a2+mform+EMP+PL-1","koehn1986apalai[95]",
"tri","kɨ+mə+n+jamo","1+2PL","1+2PL","1a2+mform+mform+PL-2","triomeira1999[152]",
