Clade,Value
kax,Parukotoan
hix,Parukotoan
wai,Parukotoan
tri,Taranoan
car,Taranoan
aku,Taranoan
ara,Pekodian
ikp,Pekodian
bak,Pekodian
pem,Venezuelan
mac,Venezuelan
kap,Venezuelan
mak,Venezuelan
pan,Venezuelan
pno,Venezuelan
yab,Venezuelan
way,Isolate
kar,Isolate
apa,Isolate
uxc,Isolate
yuk,Yukpan
wmr,Isolate
jap,Yukpan
tam,Venezuelan
map,Venezuelan
