ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Contribution_ID
191_0,191,aanim,1,- n ə r ə,,pronouns
192_0,192,aanim,1,- n o r o,,pronouns
193_0,193,aanim,1,i n o r o,,pronouns
194_0,194,aanim,1,- n o r o,,pronouns
195_0,195,aanim,1,- ɲ əə r ə,,pronouns
196_0,196,aanim,1,- n o r o,,pronouns
197_0,197,aanim,1,- n əə r ə,,pronouns
198_0,198,aanim,1,- n o r o,,pronouns
199_0,199,aanim,1,- n ə r ə,,pronouns
200_0,200,aanim,1,ɨ ŋ e l e,,pronouns
201_0,201,aanim,1,- n o r o,,pronouns
202_0,202,aanim,1,i n ə r ə,,pronouns
202_1,202,emp,2,r ə,,pronouns
204_1,204,emp,2,r o,,pronouns
205_0,205,aanim,1,ɨ n a r o,,pronouns
206_0,206,aanim,1,i n a r o,,pronouns
207_0,207,aanim,1,- n - - -,,pronouns
207_1,207,pl2,2,- - a m o,,pronouns
208_0,208,aanim,1,- n - - -,,pronouns
208_1,208,pl2,2,- - a m o,,pronouns
209_0,209,aanim,1,- n - - -,,pronouns
209_1,209,pl2,2,- - a m o,,pronouns
209_2,209,emp,3,r o,,pronouns
210_0,210,aanim,1,- ɲ - - -,,pronouns
210_1,210,pl2,2,- - a m o,,pronouns
210_2,210,emp,3,r o,,pronouns
211_0,211,aanim,1,- ɲ e - -,,pronouns
211_1,211,pl2,2,- ʃ a m -,,pronouns
211_2,211,emp,3,r o,,pronouns
212_0,212,aanim,1,- - i n -,,pronouns
212_1,212,pl2,2,- - a m o,,pronouns
212_2,212,emp,3,r o,,pronouns
213_0,213,pinan1,1,s e r o,,pronouns
213_1,213,pl4,2,ʔ n e,,pronouns
214_0,214,toto,1,t o ʔ -,,pronouns
215_0,215,toto,1,t o t o,,pronouns
219_0,219,ainan,1,ɨ r o,,pronouns
220_0,220,ainan,1,i r ə,,pronouns
221_0,221,ainan,1,ɨ r o,,pronouns
222_0,222,ainan,1,i r o,,pronouns
223_0,223,ainan,1,i r o,,pronouns
224_0,224,ainan,1,i j ə,,pronouns
225_0,225,ainan,1,i r ə,,pronouns
226_0,226,ainan,1,i r ə,,pronouns
227_0,227,pinan1,1,s e r o,,pronouns
228_0,228,ainan,1,i r o,,pronouns
229_0,229,ainan,1,i r o,,pronouns
229_1,229,pl1,2,- k o n -,,pronouns
230_0,230,manim,1,- m o - k ɨ,,pronouns
231_0,231,manim,1,- m ə - k ə,,pronouns
232_0,232,manim,1,- m o - k ɨ,,pronouns
233_0,233,manim,1,- m o ʔ k ɨ,,pronouns
234_0,234,manim,1,- m o - k ɨ,,pronouns
235_0,235,manim,1,- m ə k k ɨ,,pronouns
236_0,236,manim,1,- m ə - k ɨ,,pronouns
237_0,237,manim,1,- m ɨ - k ɨ,,pronouns
238_0,238,manim,1,- m ə - k ɨ,,pronouns
239_0,239,manim,1,- - u - g u,,pronouns
239_1,239,emp,2,n -,,pronouns
240_0,240,manim,1,- m ə - k -,,pronouns
240_1,240,pl2,2,- - a m o,,pronouns
240_2,240,emp,3,r o,,pronouns
241_0,241,dinan,1,m u n -,,pronouns
242_0,242,manim,1,- m o - k -,,pronouns
242_1,242,pl2,2,- - a m o,,pronouns
243_0,243,manim,1,- m o - k -,,pronouns
