ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Contribution_ID
60_1,60,emp,2,r ə,,pronouns
61_0,61,2,1,- a m ə,,pronouns
61_1,61,emp,2,r ə,,pronouns
62_0,62,2,1,- ə m ə,,pronouns
62_1,62,emp,2,r ə,,pronouns
63_0,63,2,1,- o m o,,pronouns
63_1,63,emp,2,r o,,pronouns
64_0,64,2,1,- o m -,,pronouns
64_1,64,emp,2,r o,,pronouns
65_0,65,2,1,- a m a,,pronouns
65_1,65,emp,2,r e,,pronouns
66_0,66,2,1,- ee - -,,pronouns
66_1,66,emp,2,ɣ e,,pronouns
67_0,67,2,1,- a m o,,pronouns
67_1,67,emp,2,r o,,pronouns
68_0,68,2,1,- ə m ə,,pronouns
68_1,68,emp,2,r ə,,pronouns
69_0,69,2,1,- a m ɨ,,pronouns
69_1,69,emp,2,r ɨ,,pronouns
70_0,70,2,1,m ə - -,,pronouns
70_1,70,emp,2,r ə,,pronouns
71_0,71,2,1,- a m o,,pronouns
71_1,71,emp,2,r -,,pronouns
72_0,72,1,1,- j u,,pronouns
72_1,72,emp,2,r ə,,pronouns
72_2,72,pl3,3,t o - -,,pronouns
73_0,73,1,1,- j u,,pronouns
73_1,73,emp,2,r ə,,pronouns
73_2,73,pl3,3,t o - -,,pronouns
73_3,73,pl1,4,- k o n -,,pronouns
74_0,74,1,1,- j u,,pronouns
74_1,74,pl3,2,t o - -,,pronouns
75_0,75,1a2,1,k ɨ,,pronouns
76_0,76,1a2,1,k ɨ,,pronouns
76_2,76,emp,3,r o,,pronouns
77_0,77,1a2,1,k ɨ,,pronouns
77_1,77,mform,2,- m ə,,pronouns
78_0,78,1a2,1,k ɨ,,pronouns
78_1,78,mform,2,- m ə,,pronouns
79_0,79,1a2,1,k ɨ,,pronouns
79_1,79,mform,2,- m ə,,pronouns
80_0,80,1a2,1,k ɨ,,pronouns
80_1,80,mform,2,- m o,,pronouns
80_2,80,emp,3,r o,,pronouns
81_0,81,1a2,1,k ɨ,,pronouns
81_1,81,mform,2,- m ə,,pronouns
81_2,81,emp,3,r ə,,pronouns
82_0,82,1a2,1,k u,,pronouns
82_1,82,mform,2,- m o,,pronouns
82_2,82,emp,3,r o,,pronouns
83_0,83,1a2,1,k ɨ,,pronouns
83_1,83,mform,2,- m ə,,pronouns
83_2,83,emp,3,r ə,,pronouns
84_0,84,1a2,1,k ɨ,,pronouns
84_1,84,wform,2,w ɨ,,pronouns
85_0,85,1a2,1,k ɨɨ,,pronouns
85_1,85,wform,2,w ɨ,,pronouns
86_0,86,1a2,1,k ɨ,,pronouns
86_1,86,wform,2,w -,,pronouns
86_2,86,emp,3,r o,,pronouns
87_0,87,1a2,1,k ɨ,,pronouns
87_1,87,wform,2,w ɨ,,pronouns
87_2,87,emp,3,r o,,pronouns
88_0,88,1a2ep,1,e ʔ - n ə,,pronouns
89_0,89,1a2ep,1,e ʔ - n ə,,pronouns
90_0,90,1a2ep,1,e p ɨ n ə,,pronouns
91_0,91,1a2ep,1,e h - n ə,,pronouns
92_0,92,1a2ep,1,e p - - ɨ,,pronouns
93_0,93,uku,1,k ɨ k ɨ,,pronouns
94_0,94,uku,1,- u g o,,pronouns
94_1,94,emp,2,r o,,pronouns
95_0,95,uku,1,- u g -,,pronouns
95_1,95,emp,2,r o,,pronouns
96_0,96,uku,1,- u k u,,pronouns
96_1,96,emp,2,r ə,,pronouns
97_0,97,uku,1,k u k u,,pronouns
97_1,97,emp,2,ɣ e,,pronouns
98_0,98,1a2,1,k u,,pronouns
98_1,98,mform,2,n m ə,,pronouns
99_0,99,1,1,- - uu,,pronouns
99_1,99,emp,2,r ɨ,,pronouns
99_2,99,pl3,3,ʔ - - -,,pronouns
99_3,99,pl1,4,- k o n -,,pronouns
100_0,100,1,1,- j uu,,pronouns
100_1,100,emp,2,r ə,,pronouns
100_2,100,pl3,3,t o - -,,pronouns
101_0,101,uku,1,k u - -,,pronouns
101_1,101,emp,2,r ə,,pronouns
102_0,102,1,1,- j u,,pronouns
102_2,102,pl1,3,- k o n -,,pronouns
103_0,103,1,1,- - u,,pronouns
103_1,103,emp,2,r ə,,pronouns
103_3,103,pl1,4,- k o n -,,pronouns
104_0,104,1,1,- - u,,pronouns
104_1,104,emp,2,r ə,,pronouns
104_3,104,pl1,4,- k o n -,,pronouns
105_0,105,1,1,- - uu,,pronouns
105_1,105,emp,2,r ɨ,,pronouns
105_3,105,pl1,4,- k o n -,,pronouns
106_0,106,1,1,- j uu,,pronouns
106_1,106,emp,2,r ə,,pronouns
106_3,106,pl1,4,- k o n -,,pronouns
107_0,107,1,1,- j uu,,pronouns
107_1,107,emp,2,r ə,,pronouns
107_2,107,pl3,3,t o - -,,pronouns
107_3,107,pl1,4,- k o n -,,pronouns
108_0,108,1,1,- j u,,pronouns
108_1,108,emp,2,r ə,,pronouns
108_3,108,pl1,4,- k o n -,,pronouns
109_0,109,1a2,1,k ɨ,,pronouns
109_3,109,pl2,4,- j a m o,,pronouns
110_0,110,1a2,1,k ɨ,,pronouns
110_2,110,emp,3,r o,,pronouns
111_0,111,1a2,1,k ɨ,,pronouns
111_2,111,pl2,3,- - a m o,,pronouns
111_3,111,emp,4,r o,,pronouns
112_0,112,1a2,1,k ɨ,,pronouns
112_2,112,pl2,3,- j a m o,,pronouns
112_3,112,emp,4,r o,,pronouns
113_0,113,1a2,1,k ɨ,,pronouns
113_1,113,mform,2,- m ə,,pronouns
113_3,113,pl2,4,- j a m o,,pronouns
114_0,114,1a2,1,k ɨ,,pronouns
114_1,114,mform,2,- m a,,pronouns
114_2,114,emp,3,r o,,pronouns
114_3,114,pl1,4,- k o m o,,pronouns
115_0,115,1a2,1,k ɨ,,pronouns
115_1,115,mform,2,- m ə,,pronouns
115_2,115,mform,3,n - -,,pronouns
115_3,115,pl2,4,- j a m o,,pronouns
116_0,116,1a2,1,k ɨ,,pronouns
116_1,116,mform,2,n - -,,pronouns
116_2,116,pl2,3,- j a m o,,pronouns
117_0,117,1a2,1,k ɨ,,pronouns
117_1,117,mform,2,- m -,,pronouns
117_2,117,pl2,3,- j a - -,,pronouns
117_3,117,emp,4,r ɨ,,pronouns
118_0,118,1a2,1,k ɨ,,pronouns
118_1,118,mform,2,n - -,,pronouns
118_2,118,pl2,3,- w a n -,,pronouns
118_3,118,emp,4,n o,,pronouns
119_0,119,1a2,1,k ɨ,,pronouns
119_1,119,wform,2,w -,,pronouns
119_2,119,pl2,3,- j a m o,,pronouns
120_0,120,1a2,1,k ɨ,,pronouns
120_1,120,wform,2,w -,,pronouns
120_2,120,pl2,3,- j a m o,,pronouns
121_0,121,1a2,1,k ɨ,,pronouns
121_1,121,wform,2,w -,,pronouns
121_2,121,pl2,3,- j a m -,,pronouns
122_0,122,uku,1,- u k u,,pronouns
122_1,122,emp,2,r ə,,pronouns
123_0,123,uku,1,- u g o,,pronouns
123_1,123,emp,2,r o,,pronouns
123_2,123,pl1,3,ŋ m o - -,,pronouns
124_0,124,uku,1,- u g -,,pronouns
124_1,124,emp,2,r o,,pronouns
124_2,124,pl1,3,ŋ m o - -,,pronouns
125_0,125,uku,1,k u k u,,pronouns
125_1,125,emp,2,ɣ e,,pronouns
125_2,125,pl1,3,- k o - -,,pronouns
