ID	DOCULECT	CONCEPT	CONCEPTID	IPA	SEGMENTS	COGIDS	ALIGNMENT
501	pem	12	12	juurətokon	j uu + r ə + t o + k o n	1 2 21 8	- j uu + r ə + t o - - + k o n -
502	pem	3anapl	3anapl	toʔ	t o ʔ	11	t o ʔ -
503	PPar	12	12	kɨ?(ro)	k ɨ + + r o	7 3 2	k ɨ + - + r o
504	PPar	3anainan	3anainan	iro	i r o	13	i r o
505	PPem	medinan	medinan	mərə	m ə r ə	17	m ə r ə
506	PPem	proxinan	proxinan	sərə	s ə r ə	18	- s ə r ə -
507	PWai	12	12	kɨwɨ(ro)	k ɨ + w ɨ + r o	7 22 2	k ɨ + w ɨ + r o
508	PWai	3anainan	3anainan	ɨro	ɨ r o	13	ɨ r o
509	tri	distanimpl	distanimpl	ohkɨja(mo)	o h k ɨ + j a m o	3 10	- + j a - m o
510	tri	proxinanpl	proxinanpl	serəto(mo)	s e r ə + t o m o	18 21	- s e r ə - + t o m o
511	tri	proxinanpl	proxinanpl	sento(mo)	s e n + t o m o	19 21	s - e n - - + t o m o
512	uxc	invisanim	invisanim	eekise	e + e k + i s e	3 16 3	- + - e - k - - + -
513	wai	distanimpl	distanimpl	moʃam	m o + ʃ a m	16 10	m o - - - - + ʃ a - m -
514	wai	proxinan	proxinan	on	o n	19	- - o n - -
515	way	3anaanimpl	3anaanimpl	tot(o)	t o t o	11	t o t o
516	PPek	distinan	distinan	mən	m ə n	14	m ə n -
517	PPar	medanimpl	medanimpl	mokjamo(ro)	m o k + j a m o + r o	16 10 2	m o - k - - + j a - m o + r o
518	PPar	proxinan	proxinan	onɨ	o n ɨ	19	- - o n ɨ -
519	PC	13	13	aipna	a i p n a	5	a - - i p n a
520	PC	12	12	kɨ?	k ɨ +	7 3	k ɨ + -
521	PC	12pl	12pl	kɨ?jamo	k ɨ + + j a m o	7 3 10	k ɨ + - + j a - m o
522	PC	3anaanim	3anaanim	inərə	i n ə r ə	12	i n ə r ə
523	PC	3anaanimpl	3anaanimpl	injamo	i n + j a m o	12 10	i n - - - + j a - m o
524	PC	3anainan	3anainan	irə	i r ə	13	i r ə
525	PC	proxanim	proxanim	mətjə	m ə t j ə	15	m ə t j ə
526	PC	proxanimpl	proxanimpl	mətjamo	m ə t j + a m o	15 10	m ə t j - + - a - m o
527	PC	proxinan	proxinan	(tj)ərə	t j ə r ə	18	t j ə r ə -
528	PC	proxinan	proxinan	(tj)ənɨ	t j ə n ɨ	19	t j ə n ɨ -
529	PC	medinan	medinan	mərə	m ə r ə	17	m ə r ə
530	PC	distanim	distanim	məkɨ	m ə k ɨ	16	m ə - k ɨ -
531	PC	distanimpl	distanimpl	məkjamo	m ə k + j a m o	16 10	m ə - k - - + j a - m o
532	PC	distinan	distinan	mənɨ	m ə n ɨ	14	m ə n ɨ
533	hix	pl	pl	-jamo	j a m o	10	j a - m o
